dtype,hdim_q,hdim_v,mask,mode,bf16_cvt,ts_qo,ts_kv,knl_name,co_name
bf16,128,128,0,0,0,256,32,_ZN5aiter24fmha_fwd_hd128_bf16_rtneE,fwd_hd128_bf16_rtne.co
bf16,128,128,0,0,1,256,32,_ZN5aiter24fmha_fwd_hd128_bf16_rtnaE,fwd_hd128_bf16_rtna.co
bf16,128,128,0,0,2,256,32,_ZN5aiter23fmha_fwd_hd128_bf16_rtzE,fwd_hd128_bf16_rtz.co
bf16,128,128,2,0,0,256,32,_ZN5aiter31fmha_fwd_hd128_bf16_causal_rtneE,fwd_hd128_bf16_causal_rtne.co
bf16,128,128,2,0,1,256,32,_ZN5aiter31fmha_fwd_hd128_bf16_causal_rtnaE,fwd_hd128_bf16_causal_rtna.co
bf16,128,128,2,0,2,256,32,_ZN5aiter30fmha_fwd_hd128_bf16_causal_rtzE,fwd_hd128_bf16_causal_rtz.co
bf16,128,128,0,1,0,256,32,_ZN5aiter30fmha_fwd_hd128_bf16_rtne_groupE,fwd_hd128_bf16_rtne_group.co
bf16,128,128,0,1,1,256,32,_ZN5aiter30fmha_fwd_hd128_bf16_rtna_groupE,fwd_hd128_bf16_rtna_group.co
bf16,128,128,0,1,2,256,32,_ZN5aiter29fmha_fwd_hd128_bf16_rtz_groupE,fwd_hd128_bf16_rtz_group.co
bf16,128,128,2,1,0,256,32,_ZN5aiter37fmha_fwd_hd128_bf16_causal_rtne_groupE,fwd_hd128_bf16_causal_rtne_group.co
bf16,128,128,2,1,1,256,32,_ZN5aiter37fmha_fwd_hd128_bf16_causal_rtna_groupE,fwd_hd128_bf16_causal_rtna_group.co
bf16,128,128,2,1,2,256,32,_ZN5aiter36fmha_fwd_hd128_bf16_causal_rtz_groupE,fwd_hd128_bf16_causal_rtz_group.co
bf16,192,128,0,0,0,128,32,_ZN5aiter28fmha_fwd_hd192x128_bf16_rtneE,fwd_hd192x128_bf16_rtne.co
bf16,192,128,0,0,1,128,32,_ZN5aiter28fmha_fwd_hd192x128_bf16_rtnaE,fwd_hd192x128_bf16_rtna.co
bf16,192,128,0,0,2,128,32,_ZN5aiter27fmha_fwd_hd192x128_bf16_rtzE,fwd_hd192x128_bf16_rtz.co
bf16,192,128,2,0,0,128,32,_ZN5aiter35fmha_fwd_hd192x128_bf16_causal_rtneE,fwd_hd192x128_bf16_causal_rtne.co
bf16,192,128,2,0,1,128,32,_ZN5aiter35fmha_fwd_hd192x128_bf16_causal_rtnaE,fwd_hd192x128_bf16_causal_rtna.co
bf16,192,128,2,0,2,128,32,_ZN5aiter34fmha_fwd_hd192x128_bf16_causal_rtzE,fwd_hd192x128_bf16_causal_rtz.co
bf16,192,128,0,1,0,128,32,_ZN5aiter34fmha_fwd_hd192x128_bf16_rtne_groupE,fwd_hd192x128_bf16_rtne_group.co
bf16,192,128,0,1,1,128,32,_ZN5aiter34fmha_fwd_hd192x128_bf16_rtna_groupE,fwd_hd192x128_bf16_rtna_group.co
bf16,192,128,0,1,2,128,32,_ZN5aiter33fmha_fwd_hd192x128_bf16_rtz_groupE,fwd_hd192x128_bf16_rtz_group.co
bf16,192,128,2,1,0,128,32,_ZN5aiter41fmha_fwd_hd192x128_bf16_causal_rtne_groupE,fwd_hd192x128_bf16_causal_rtne_group.co
bf16,192,128,2,1,1,128,32,_ZN5aiter41fmha_fwd_hd192x128_bf16_causal_rtna_groupE,fwd_hd192x128_bf16_causal_rtna_group.co
bf16,192,128,2,1,2,128,32,_ZN5aiter40fmha_fwd_hd192x128_bf16_causal_rtz_groupE,fwd_hd192x128_bf16_causal_rtz_group.co